"rid","rdomain_label"
"642","0000000000000000010000001100000000000"
"643","0000000000000000010110000000000000000"
"644","0000000000000000010000001100000000000"
"645","0000000000000001010100000000000000000"
"648","0000001000000000010000001000000000000"
"649","0000000000100000010000000100000000000"
"650","0000000010000000010000000000010000000"
"651","0000000100000000010100000000000000000"
"652","0000000100000000010100000000000000000"
"653","0000000100000000010000000000010000000"
"654","0000000000000000010000000000000001100"
"655","0000000000000000010000001100000000000"
"656","0000000000000000010110000000000000000"
"657","0000000000000000010000001000100000000"
"658","0000000000000000010100000100000000000"
"659","0000000000000000010000001100000000000"
"660","0000000000100000010000000100000000000"
"661","0000000001000000010100000000000000000"
"662","0000001000000000010000000100000000000"
"663","0000000000000000010110000000000000000"
"664","0000000000000000010000000100010000000"
"666","0000000100000000010100000000000000000"
"667","0000000100000000010000000000000000100"
"668","0000000000000000010000001100000000000"
"669","0000000000000000010110000000000000000"
"670","1000000000000000010100000000000000000"
"671","0000001001000000010000000000000000000"
"672","0000000000000000111000000000000000000"
"673","0000000100000000010100000000000000000"
"674","0000000100000000010100000000000000000"
"675","0000000100000000010100000000000000000"
"676","0000000000000100110000000000000000000"
"677","0000000100000000010000001000000000000"
"678","0000000000000000100000000001000000010"
"679","0000000000000000010000001100000000000"
"680","0000000000000000010110000000000000000"
"681","0000000100000000010100000000000000000"
"682","0000000000000000111000000000000000000"
"683","0000000100000000010100000000000000000"
"684","1000000000000000010000000000000000010"
"685","1000000000000000010000000000000001000"
"686","0000000000000000010100000000000000010"
"687","1000000000000000010100000000000000000"
"688","1000000000000000010000000000000000010"
"689","0000000000000000010000000000000001010"
"690","0000000000000000010000001000000000010"
"691","0000000100000000010100000000000000000"
"692","0000000100000000010100000000000000000"
"693","0000000001100000010000000000000000000"
"694","0000000000000000010100000000000001000"
"695","0000000000000000010100000000000001000"
"696","0000000100000000010100000000000000000"
"697","0000000000000000010100001000000000000"
"698","0000000000000000010000000000000001100"
"699","0000000000000000010100001000000000000"
"700","0000000001000000010000000000000000010"
"701","0000000100000000010100000000000000000"
"702","0000000100000000010100000000000000000"
"703","0000000000000000010000001000000000010"
"704","0000000100000000010100000000000000000"
"705","0000000000000000010000001100000000000"
"706","0000000100000000010100000000000000000"
"707","0000000100000000010100000000000000000"
